"Dato";"Kumulativt antall";"Nye tilfeller"
"2020-02-21";0;0
"2020-02-22";0;0
"2020-02-23";0;0
"2020-02-24";0;0
"2020-02-25";0;0
"2020-02-26";0;0
"2020-02-27";0;0
"2020-02-28";0;0
"2020-02-29";0;0
"2020-03-01";2;2
"2020-03-02";3;1
"2020-03-03";5;2
"2020-03-04";7;2
"2020-03-05";9;2
"2020-03-06";9;0
"2020-03-07";10;1
"2020-03-08";22;12
"2020-03-09";42;20
"2020-03-10";57;15
"2020-03-11";64;7
"2020-03-12";72;8
"2020-03-13";82;10
"2020-03-14";86;4
"2020-03-15";91;5
"2020-03-16";97;6
"2020-03-17";100;3
"2020-03-18";107;7
"2020-03-19";113;6
"2020-03-20";120;7
"2020-03-21";122;2
"2020-03-22";123;1
"2020-03-23";130;7
"2020-03-24";134;4
"2020-03-25";147;13
"2020-03-26";160;13
"2020-03-27";165;5
"2020-03-28";170;5
"2020-03-29";172;2
"2020-03-30";191;19
"2020-03-31";207;16
"2020-04-01";221;14
"2020-04-02";224;3
"2020-04-03";231;7
"2020-04-04";232;1
"2020-04-05";236;4
"2020-04-06";244;8
"2020-04-07";249;5
"2020-04-08";258;9
"2020-04-09";261;3
"2020-04-10";264;3
"2020-04-11";264;0
"2020-04-12";269;5
"2020-04-13";269;0
"2020-04-14";278;9
"2020-04-15";281;3
"2020-04-16";286;5
"2020-04-17";296;10
"2020-04-18";301;5
"2020-04-19";301;0
"2020-04-20";308;7
"2020-04-21";312;4
"2020-04-22";317;5
"2020-04-23";319;2
"2020-04-24";321;2
"2020-04-25";322;1
"2020-04-26";322;0
"2020-04-27";326;4
"2020-04-28";327;1
"2020-04-29";328;1
"2020-04-30";331;3
"2020-05-01";332;1
"2020-05-02";333;1
"2020-05-03";335;2
"2020-05-04";336;1
"2020-05-05";336;0
"2020-05-06";338;2
"2020-05-07";338;0
"2020-05-08";339;1
"2020-05-09";339;0
"2020-05-10";339;0
"2020-05-11";339;0
"2020-05-12";339;0
"2020-05-13";339;0
"2020-05-14";339;0
"2020-05-15";341;2
"2020-05-16";341;0
"2020-05-17";341;0
"2020-05-18";341;0
"2020-05-19";341;0
"2020-05-20";341;0
"2020-05-21";341;0
"2020-05-22";341;0
"2020-05-23";341;0
"2020-05-24";341;0
"2020-05-25";341;0
"2020-05-26";341;0
"2020-05-27";341;0
"2020-05-28";341;0
"2020-05-29";341;0
"2020-05-30";341;0
"2020-05-31";341;0
"2020-06-01";341;0
"2020-06-02";341;0
"2020-06-03";341;0
"2020-06-04";341;0
"2020-06-05";342;1
"2020-06-06";342;0
"2020-06-07";342;0
"2020-06-08";342;0
"2020-06-09";343;1
"2020-06-10";343;0
"2020-06-11";343;0
"2020-06-12";343;0
"2020-06-13";343;0
"2020-06-14";343;0
"2020-06-15";344;1
"2020-06-16";345;1
"2020-06-17";346;1
"2020-06-18";346;0
"2020-06-19";346;0
"2020-06-20";346;0
"2020-06-21";347;1
"2020-06-22";347;0
"2020-06-23";347;0
"2020-06-24";347;0
"2020-06-25";347;0
"2020-06-26";347;0
"2020-06-27";347;0
"2020-06-28";347;0
"2020-06-29";347;0
"2020-06-30";348;1
"2020-07-01";348;0
"2020-07-02";348;0
"2020-07-03";348;0
"2020-07-04";348;0
"2020-07-05";348;0
"2020-07-06";348;0
"2020-07-07";348;0
"2020-07-08";348;0
"2020-07-09";348;0
"2020-07-10";349;1
"2020-07-11";349;0
"2020-07-12";349;0
"2020-07-13";351;2
"2020-07-14";351;0
"2020-07-15";351;0
"2020-07-16";351;0
"2020-07-17";351;0
"2020-07-18";351;0
"2020-07-19";351;0
"2020-07-20";351;0
"2020-07-21";351;0
"2020-07-22";352;1
"2020-07-23";352;0
"2020-07-24";352;0
"2020-07-25";353;1
"2020-07-26";353;0
"2020-07-27";353;0
"2020-07-28";353;0
"2020-07-29";354;1
"2020-07-30";354;0
"2020-07-31";354;0
"2020-08-01";354;0
"2020-08-02";354;0
"2020-08-03";355;1
"2020-08-04";355;0
"2020-08-05";356;1
"2020-08-06";357;1
"2020-08-07";357;0
"2020-08-08";357;0
"2020-08-09";358;1
"2020-08-10";360;2
"2020-08-11";361;1
"2020-08-12";367;6
"2020-08-13";369;2
"2020-08-14";375;6
"2020-08-15";376;1
"2020-08-16";376;0
"2020-08-17";380;4
"2020-08-18";380;0
"2020-08-19";381;1
"2020-08-20";382;1
"2020-08-21";384;2
"2020-08-22";385;1
"2020-08-23";386;1
"2020-08-24";392;6
"2020-08-25";394;2
"2020-08-26";398;4
"2020-08-27";404;6
"2020-08-28";406;2
"2020-08-29";407;1
"2020-08-30";408;1
"2020-08-31";414;6
"2020-09-01";416;2
"2020-09-02";417;1
"2020-09-03";418;1
"2020-09-04";419;1
"2020-09-05";419;0
"2020-09-06";420;1
"2020-09-07";421;1
"2020-09-08";422;1
"2020-09-09";424;2
"2020-09-10";425;1
"2020-09-11";426;1
"2020-09-12";426;0
"2020-09-13";427;1
"2020-09-14";427;0
"2020-09-15";429;2
"2020-09-16";430;1
"2020-09-17";436;6
"2020-09-18";441;5
"2020-09-19";442;1
"2020-09-20";442;0
"2020-09-21";446;4
"2020-09-22";450;4
"2020-09-23";456;6
"2020-09-24";467;11
"2020-09-25";478;11
"2020-09-26";478;0
"2020-09-27";480;2
"2020-09-28";491;11
"2020-09-29";493;2
"2020-09-30";494;1
"2020-10-01";498;4
"2020-10-02";508;10
"2020-10-03";509;1
"2020-10-04";509;0
"2020-10-05";520;11
"2020-10-06";533;13
"2020-10-07";541;8
"2020-10-08";544;3
"2020-10-09";547;3
"2020-10-10";549;2
"2020-10-11";553;4
"2020-10-12";560;7
"2020-10-13";562;2
"2020-10-14";568;6
"2020-10-15";574;6
"2020-10-16";578;4
"2020-10-17";580;2
"2020-10-18";581;1
"2020-10-19";584;3
"2020-10-20";587;3
"2020-10-21";591;4
"2020-10-22";596;5
"2020-10-23";603;7
"2020-10-24";604;1
"2020-10-25";605;1
"2020-10-26";614;9
"2020-10-27";619;5
"2020-10-28";620;1
"2020-10-29";629;9
"2020-10-30";633;4
"2020-10-31";636;3
"2020-11-01";662;26
"2020-11-02";676;14
"2020-11-03";699;23
"2020-11-04";712;13
"2020-11-05";722;10
"2020-11-06";750;28
"2020-11-07";760;10
"2020-11-08";772;12
"2020-11-09";792;20
"2020-11-10";800;8
"2020-11-11";818;18
"2020-11-12";826;8
"2020-11-13";887;61
"2020-11-14";898;11
"2020-11-15";919;21
"2020-11-16";942;23
"2020-11-17";965;23
"2020-11-18";975;10
"2020-11-19";983;8
"2020-11-20";994;11
"2020-11-21";999;5
"2020-11-22";1000;1
"2020-11-23";1011;11
"2020-11-24";1017;6
"2020-11-25";1022;5
"2020-11-26";1025;3
