"Dato";"Kumulativt antall";"Nye tilfeller"
"2020-02-21";0;0
"2020-02-22";0;0
"2020-02-23";0;0
"2020-02-24";0;0
"2020-02-25";0;0
"2020-02-26";2;2
"2020-02-27";3;1
"2020-02-28";3;0
"2020-02-29";7;4
"2020-03-01";7;0
"2020-03-02";10;3
"2020-03-03";15;5
"2020-03-04";17;2
"2020-03-05";19;2
"2020-03-06";29;10
"2020-03-07";33;4
"2020-03-08";46;13
"2020-03-09";91;45
"2020-03-10";161;70
"2020-03-11";206;45
"2020-03-12";255;49
"2020-03-13";280;25
"2020-03-14";302;22
"2020-03-15";322;20
"2020-03-16";353;31
"2020-03-17";394;41
"2020-03-18";442;48
"2020-03-19";490;48
"2020-03-20";580;90
"2020-03-21";633;53
"2020-03-22";688;55
"2020-03-23";763;75
"2020-03-24";857;94
"2020-03-25";943;86
"2020-03-26";1051;108
"2020-03-27";1148;97
"2020-03-28";1201;53
"2020-03-29";1240;39
"2020-03-30";1320;80
"2020-03-31";1395;75
"2020-04-01";1463;68
"2020-04-02";1541;78
"2020-04-03";1602;61
"2020-04-04";1638;36
"2020-04-05";1665;27
"2020-04-06";1714;49
"2020-04-07";1767;53
"2020-04-08";1809;42
"2020-04-09";1858;49
"2020-04-10";1888;30
"2020-04-11";1926;38
"2020-04-12";1959;33
"2020-04-13";1991;32
"2020-04-14";2032;41
"2020-04-15";2076;44
"2020-04-16";2100;24
"2020-04-17";2137;37
"2020-04-18";2154;17
"2020-04-19";2180;26
"2020-04-20";2217;37
"2020-04-21";2247;30
"2020-04-22";2283;36
"2020-04-23";2296;13
"2020-04-24";2311;15
"2020-04-25";2320;9
"2020-04-26";2339;19
"2020-04-27";2357;18
"2020-04-28";2376;19
"2020-04-29";2388;12
"2020-04-30";2401;13
"2020-05-01";2423;22
"2020-05-02";2431;8
"2020-05-03";2453;22
"2020-05-04";2469;16
"2020-05-05";2488;19
"2020-05-06";2502;14
"2020-05-07";2513;11
"2020-05-08";2530;17
"2020-05-09";2534;4
"2020-05-10";2538;4
"2020-05-11";2545;7
"2020-05-12";2549;4
"2020-05-13";2554;5
"2020-05-14";2563;9
"2020-05-15";2567;4
"2020-05-16";2570;3
"2020-05-17";2570;0
"2020-05-18";2575;5
"2020-05-19";2580;5
"2020-05-20";2586;6
"2020-05-21";2597;11
"2020-05-22";2608;11
"2020-05-23";2614;6
"2020-05-24";2617;3
"2020-05-25";2622;5
"2020-05-26";2624;2
"2020-05-27";2630;6
"2020-05-28";2636;6
"2020-05-29";2639;3
"2020-05-30";2639;0
"2020-05-31";2641;2
"2020-06-01";2645;4
"2020-06-02";2669;24
"2020-06-03";2674;5
"2020-06-04";2689;15
"2020-06-05";2710;21
"2020-06-06";2716;6
"2020-06-07";2724;8
"2020-06-08";2729;5
"2020-06-09";2737;8
"2020-06-10";2750;13
"2020-06-11";2756;6
"2020-06-12";2762;6
"2020-06-13";2766;4
"2020-06-14";2772;6
"2020-06-15";2779;7
"2020-06-16";2802;23
"2020-06-17";2806;4
"2020-06-18";2813;7
"2020-06-19";2820;7
"2020-06-20";2825;5
"2020-06-21";2827;2
"2020-06-22";2834;7
"2020-06-23";2840;6
"2020-06-24";2846;6
"2020-06-25";2851;5
"2020-06-26";2856;5
"2020-06-27";2863;7
"2020-06-28";2864;1
"2020-06-29";2870;6
"2020-06-30";2876;6
"2020-07-01";2879;3
"2020-07-02";2881;2
"2020-07-03";2885;4
"2020-07-04";2886;1
"2020-07-05";2886;0
"2020-07-06";2887;1
"2020-07-07";2890;3
"2020-07-08";2895;5
"2020-07-09";2899;4
"2020-07-10";2903;4
"2020-07-11";2907;4
"2020-07-12";2907;0
"2020-07-13";2913;6
"2020-07-14";2916;3
"2020-07-15";2920;4
"2020-07-16";2922;2
"2020-07-17";2927;5
"2020-07-18";2928;1
"2020-07-19";2931;3
"2020-07-20";2936;5
"2020-07-21";2938;2
"2020-07-22";2941;3
"2020-07-23";2943;2
"2020-07-24";2948;5
"2020-07-25";2952;4
"2020-07-26";2952;0
"2020-07-27";2959;7
"2020-07-28";2964;5
"2020-07-29";2971;7
"2020-07-30";2980;9
"2020-07-31";2994;14
"2020-08-01";2996;2
"2020-08-02";3003;7
"2020-08-03";3015;12
"2020-08-04";3031;16
"2020-08-05";3056;25
"2020-08-06";3078;22
"2020-08-07";3103;25
"2020-08-08";3114;11
"2020-08-09";3123;9
"2020-08-10";3138;15
"2020-08-11";3147;9
"2020-08-12";3163;16
"2020-08-13";3184;21
"2020-08-14";3207;23
"2020-08-15";3225;18
"2020-08-16";3232;7
"2020-08-17";3249;17
"2020-08-18";3272;23
"2020-08-19";3292;20
"2020-08-20";3308;16
"2020-08-21";3324;16
"2020-08-22";3337;13
"2020-08-23";3346;9
"2020-08-24";3374;28
"2020-08-25";3394;20
"2020-08-26";3404;10
"2020-08-27";3420;16
"2020-08-28";3445;25
"2020-08-29";3457;12
"2020-08-30";3468;11
"2020-08-31";3495;27
"2020-09-01";3521;26
"2020-09-02";3544;23
"2020-09-03";3561;17
"2020-09-04";3580;19
"2020-09-05";3598;18
"2020-09-06";3612;14
"2020-09-07";3644;32
"2020-09-08";3678;34
"2020-09-09";3710;32
"2020-09-10";3756;46
"2020-09-11";3785;29
"2020-09-12";3810;25
"2020-09-13";3834;24
"2020-09-14";3870;36
"2020-09-15";3929;59
"2020-09-16";3982;53
"2020-09-17";4034;52
"2020-09-18";4073;39
"2020-09-19";4091;18
"2020-09-20";4117;26
"2020-09-21";4175;58
"2020-09-22";4223;48
"2020-09-23";4278;55
"2020-09-24";4323;45
"2020-09-25";4373;50
"2020-09-26";4402;29
"2020-09-27";4434;32
"2020-09-28";4478;44
"2020-09-29";4520;42
"2020-09-30";4558;38
"2020-10-01";4600;42
"2020-10-02";4647;47
"2020-10-03";4681;34
"2020-10-04";4721;40
"2020-10-05";4776;55
"2020-10-06";4841;65
"2020-10-07";4910;69
"2020-10-08";4972;62
"2020-10-09";5028;56
"2020-10-10";5051;23
"2020-10-11";5080;29
"2020-10-12";5114;34
"2020-10-13";5168;54
"2020-10-14";5228;60
"2020-10-15";5267;39
"2020-10-16";5322;55
"2020-10-17";5354;32
"2020-10-18";5382;28
"2020-10-19";5436;54
"2020-10-20";5497;61
"2020-10-21";5559;62
"2020-10-22";5644;85
"2020-10-23";5737;93
"2020-10-24";5809;72
"2020-10-25";5855;46
"2020-10-26";5957;102
"2020-10-27";6081;124
"2020-10-28";6202;121
"2020-10-29";6324;122
"2020-10-30";6492;168
"2020-10-31";6590;98
"2020-11-01";6669;79
"2020-11-02";6792;123
"2020-11-03";6975;183
"2020-11-04";7135;160
"2020-11-05";7279;144
"2020-11-06";7431;152
"2020-11-07";7540;109
"2020-11-08";7651;111
"2020-11-09";7791;140
"2020-11-10";7971;180
"2020-11-11";8143;172
"2020-11-12";8338;195
"2020-11-13";8548;210
"2020-11-14";8668;120
"2020-11-15";8812;144
"2020-11-16";9039;227
"2020-11-17";9237;198
"2020-11-18";9453;216
"2020-11-19";9608;155
"2020-11-20";9779;171
"2020-11-21";9877;98
"2020-11-22";9989;112
"2020-11-23";10157;168
"2020-11-24";10290;133
"2020-11-25";10416;126
"2020-11-26";10434;18
