"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";0;0
"22.02.2020";0;0
"23.02.2020";0;0
"24.02.2020";0;0
"25.02.2020";0;0
"26.02.2020";0;0
"27.02.2020";0;0
"28.02.2020";0;0
"29.02.2020";0;0
"01.03.2020";0;0
"02.03.2020";0;0
"03.03.2020";6;6
"04.03.2020";12;6
"05.03.2020";17;5
"06.03.2020";17;0
"07.03.2020";18;1
"08.03.2020";23;5
"09.03.2020";38;15
"10.03.2020";54;16
"11.03.2020";64;10
"12.03.2020";67;3
"13.03.2020";70;3
"14.03.2020";79;9
"15.03.2020";87;8
"16.03.2020";96;9
"17.03.2020";100;4
"18.03.2020";119;19
"19.03.2020";140;21
"20.03.2020";169;29
"21.03.2020";189;20
"22.03.2020";191;2
"23.03.2020";213;22
"24.03.2020";236;23
"25.03.2020";256;20
"26.03.2020";277;21
"27.03.2020";295;18
"28.03.2020";310;15
"29.03.2020";313;3
"30.03.2020";323;10
"31.03.2020";333;10
"01.04.2020";345;12
"02.04.2020";354;9
"03.04.2020";362;8
"04.04.2020";363;1
"05.04.2020";367;4
"06.04.2020";371;4
"07.04.2020";382;11
"08.04.2020";385;3
"09.04.2020";387;2
"10.04.2020";394;7
"11.04.2020";394;0
"12.04.2020";397;3
"13.04.2020";399;2
"14.04.2020";400;1
"15.04.2020";404;4
"16.04.2020";408;4
"17.04.2020";412;4
"18.04.2020";415;3
"19.04.2020";416;1
"20.04.2020";417;1
"21.04.2020";426;9
"22.04.2020";428;2
"23.04.2020";439;11
"24.04.2020";448;9
"25.04.2020";455;7
"26.04.2020";465;10
"27.04.2020";468;3
"28.04.2020";471;3
"29.04.2020";475;4
"30.04.2020";479;4
"01.05.2020";493;14
"02.05.2020";494;1
"03.05.2020";498;4
"04.05.2020";503;5
"05.05.2020";505;2
"06.05.2020";510;5
"07.05.2020";513;3
"08.05.2020";514;1
"09.05.2020";515;1
"10.05.2020";516;1
"11.05.2020";518;2
"12.05.2020";520;2
"13.05.2020";520;0
"14.05.2020";522;2
"15.05.2020";523;1
"16.05.2020";527;4
"17.05.2020";528;1
"18.05.2020";529;1
"19.05.2020";529;0
"20.05.2020";530;1
"21.05.2020";530;0
"22.05.2020";530;0
"23.05.2020";530;0
"24.05.2020";530;0
"25.05.2020";530;0
"26.05.2020";532;2
"27.05.2020";532;0
"28.05.2020";533;1
"29.05.2020";533;0
"30.05.2020";533;0
"31.05.2020";533;0
"01.06.2020";533;0
"02.06.2020";533;0
"03.06.2020";533;0
"04.06.2020";533;0
"05.06.2020";533;0
"06.06.2020";533;0
"07.06.2020";533;0
"08.06.2020";533;0
"09.06.2020";533;0
"10.06.2020";533;0
"11.06.2020";533;0
"12.06.2020";533;0
"13.06.2020";533;0
"14.06.2020";533;0
"15.06.2020";533;0
"16.06.2020";534;1
"17.06.2020";534;0
"18.06.2020";534;0
"19.06.2020";535;1
"20.06.2020";535;0
"21.06.2020";535;0
"22.06.2020";537;2
"23.06.2020";537;0
"24.06.2020";537;0
"25.06.2020";537;0
"26.06.2020";537;0
"27.06.2020";537;0
"28.06.2020";537;0
"29.06.2020";537;0
"30.06.2020";537;0
"01.07.2020";537;0
"02.07.2020";538;1
"03.07.2020";538;0
"04.07.2020";538;0
"05.07.2020";538;0
"06.07.2020";538;0
"07.07.2020";538;0
"08.07.2020";539;1
"09.07.2020";539;0
"10.07.2020";539;0
"11.07.2020";539;0
"12.07.2020";539;0
"13.07.2020";539;0
"14.07.2020";540;1
"15.07.2020";541;1
"16.07.2020";543;2
"17.07.2020";545;2
"18.07.2020";545;0
"19.07.2020";545;0
"20.07.2020";545;0
"21.07.2020";546;1
"22.07.2020";549;3
"23.07.2020";549;0
"24.07.2020";550;1
"25.07.2020";550;0
"26.07.2020";551;1
"27.07.2020";552;1
"28.07.2020";554;2
"29.07.2020";554;0
"30.07.2020";556;2
"31.07.2020";556;0
"01.08.2020";556;0
"02.08.2020";557;1
"03.08.2020";560;3
"04.08.2020";564;4
"05.08.2020";567;3
"06.08.2020";571;4
"07.08.2020";574;3
"08.08.2020";579;5
"09.08.2020";581;2
"10.08.2020";586;5
"11.08.2020";587;1
"12.08.2020";587;0
"13.08.2020";590;3
"14.08.2020";594;4
"15.08.2020";598;4
"16.08.2020";601;3
"17.08.2020";609;8
"18.08.2020";615;6
"19.08.2020";615;0
"20.08.2020";619;4
"21.08.2020";621;2
"22.08.2020";621;0
"23.08.2020";621;0
"24.08.2020";622;1
"25.08.2020";624;2
"26.08.2020";625;1
"27.08.2020";625;0
"28.08.2020";626;1
"29.08.2020";626;0
"30.08.2020";626;0
"31.08.2020";627;1
"01.09.2020";627;0
"02.09.2020";627;0
"03.09.2020";629;2
"04.09.2020";632;3
"05.09.2020";632;0
"06.09.2020";633;1
"07.09.2020";636;3
"08.09.2020";637;1
"09.09.2020";637;0
"10.09.2020";639;2
"11.09.2020";641;2
"12.09.2020";643;2
"13.09.2020";646;3
"14.09.2020";648;2
"15.09.2020";652;4
"16.09.2020";654;2
"17.09.2020";654;0
"18.09.2020";655;1
"19.09.2020";657;2
"20.09.2020";660;3
"21.09.2020";661;1
"22.09.2020";664;3
"23.09.2020";665;1
"24.09.2020";667;2
"25.09.2020";669;2
"26.09.2020";673;4
"27.09.2020";674;1
"28.09.2020";678;4
"29.09.2020";682;4
"30.09.2020";692;10
"01.10.2020";695;3
"02.10.2020";698;3
"03.10.2020";702;4
"04.10.2020";703;1
"05.10.2020";707;4
"06.10.2020";711;4
"07.10.2020";715;4
"08.10.2020";718;3
"09.10.2020";720;2
"10.10.2020";728;8
"11.10.2020";735;7
"12.10.2020";742;7
"13.10.2020";747;5
"14.10.2020";758;11
"15.10.2020";766;8
"16.10.2020";774;8
"17.10.2020";777;3
"18.10.2020";785;8
"19.10.2020";796;11
"20.10.2020";805;9
"21.10.2020";814;9
"22.10.2020";816;2
"23.10.2020";826;10
"24.10.2020";830;4
"25.10.2020";838;8
"26.10.2020";853;15
"27.10.2020";857;4
"28.10.2020";867;10
"29.10.2020";888;21
"30.10.2020";913;25
"31.10.2020";920;7
"01.11.2020";924;4
"02.11.2020";958;34
"03.11.2020";975;17
"04.11.2020";1002;27
"05.11.2020";1010;8
"06.11.2020";1028;18
"07.11.2020";1036;8
"08.11.2020";1041;5
"09.11.2020";1041;0
