"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";0;0
"22.02.2020";0;0
"23.02.2020";0;0
"24.02.2020";0;0
"25.02.2020";0;0
"26.02.2020";0;0
"27.02.2020";0;0
"28.02.2020";0;0
"29.02.2020";0;0
"01.03.2020";0;0
"02.03.2020";0;0
"03.03.2020";1;1
"04.03.2020";2;1
"05.03.2020";3;1
"06.03.2020";3;0
"07.03.2020";4;1
"08.03.2020";7;3
"09.03.2020";21;14
"10.03.2020";35;14
"11.03.2020";46;11
"12.03.2020";60;14
"13.03.2020";65;5
"14.03.2020";68;3
"15.03.2020";72;4
"16.03.2020";78;6
"17.03.2020";87;9
"18.03.2020";99;12
"19.03.2020";99;0
"20.03.2020";107;8
"21.03.2020";109;2
"22.03.2020";114;5
"23.03.2020";125;11
"24.03.2020";134;9
"25.03.2020";143;9
"26.03.2020";151;8
"27.03.2020";162;11
"28.03.2020";171;9
"29.03.2020";176;5
"30.03.2020";185;9
"31.03.2020";191;6
"01.04.2020";195;4
"02.04.2020";208;13
"03.04.2020";218;10
"04.04.2020";224;6
"05.04.2020";229;5
"06.04.2020";234;5
"07.04.2020";236;2
"08.04.2020";239;3
"09.04.2020";240;1
"10.04.2020";241;1
"11.04.2020";247;6
"12.04.2020";248;1
"13.04.2020";250;2
"14.04.2020";251;1
"15.04.2020";252;1
"16.04.2020";259;7
"17.04.2020";260;1
"18.04.2020";261;1
"19.04.2020";261;0
"20.04.2020";261;0
"21.04.2020";262;1
"22.04.2020";265;3
"23.04.2020";268;3
"24.04.2020";268;0
"25.04.2020";269;1
"26.04.2020";269;0
"27.04.2020";269;0
"28.04.2020";271;2
"29.04.2020";272;1
"30.04.2020";273;1
"01.05.2020";273;0
"02.05.2020";273;0
"03.05.2020";273;0
"04.05.2020";273;0
"05.05.2020";274;1
"06.05.2020";275;1
"07.05.2020";276;1
"08.05.2020";276;0
"09.05.2020";276;0
"10.05.2020";276;0
"11.05.2020";276;0
"12.05.2020";278;2
"13.05.2020";279;1
"14.05.2020";279;0
"15.05.2020";280;1
"16.05.2020";280;0
"17.05.2020";280;0
"18.05.2020";280;0
"19.05.2020";282;2
"20.05.2020";282;0
"21.05.2020";283;1
"22.05.2020";284;1
"23.05.2020";284;0
"24.05.2020";284;0
"25.05.2020";284;0
"26.05.2020";285;1
"27.05.2020";285;0
"28.05.2020";285;0
"29.05.2020";285;0
"30.05.2020";285;0
"31.05.2020";285;0
"01.06.2020";285;0
"02.06.2020";286;1
"03.06.2020";286;0
"04.06.2020";286;0
"05.06.2020";288;2
"06.06.2020";288;0
"07.06.2020";288;0
"08.06.2020";289;1
"09.06.2020";289;0
"10.06.2020";289;0
"11.06.2020";289;0
"12.06.2020";289;0
"13.06.2020";289;0
"14.06.2020";289;0
"15.06.2020";290;1
"16.06.2020";291;1
"17.06.2020";291;0
"18.06.2020";291;0
"19.06.2020";294;3
"20.06.2020";294;0
"21.06.2020";294;0
"22.06.2020";294;0
"23.06.2020";294;0
"24.06.2020";294;0
"25.06.2020";294;0
"26.06.2020";294;0
"27.06.2020";294;0
"28.06.2020";294;0
"29.06.2020";294;0
"30.06.2020";294;0
"01.07.2020";295;1
"02.07.2020";296;1
"03.07.2020";296;0
"04.07.2020";296;0
"05.07.2020";296;0
"06.07.2020";297;1
"07.07.2020";299;2
"08.07.2020";299;0
"09.07.2020";299;0
"10.07.2020";299;0
"11.07.2020";299;0
"12.07.2020";299;0
"13.07.2020";299;0
"14.07.2020";299;0
"15.07.2020";299;0
"16.07.2020";299;0
"17.07.2020";299;0
"18.07.2020";299;0
"19.07.2020";299;0
"20.07.2020";299;0
"21.07.2020";299;0
"22.07.2020";300;1
"23.07.2020";300;0
"24.07.2020";301;1
"25.07.2020";301;0
"26.07.2020";303;2
"27.07.2020";306;3
"28.07.2020";306;0
"29.07.2020";310;4
"30.07.2020";310;0
"31.07.2020";312;2
"01.08.2020";312;0
"02.08.2020";312;0
"03.08.2020";314;2
"04.08.2020";314;0
"05.08.2020";317;3
"06.08.2020";319;2
"07.08.2020";324;5
"08.08.2020";326;2
"09.08.2020";327;1
"10.08.2020";331;4
"11.08.2020";332;1
"12.08.2020";333;1
"13.08.2020";337;4
"14.08.2020";340;3
"15.08.2020";342;2
"16.08.2020";343;1
"17.08.2020";346;3
"18.08.2020";348;2
"19.08.2020";348;0
"20.08.2020";349;1
"21.08.2020";350;1
"22.08.2020";351;1
"23.08.2020";351;0
"24.08.2020";352;1
"25.08.2020";353;1
"26.08.2020";354;1
"27.08.2020";356;2
"28.08.2020";356;0
"29.08.2020";357;1
"30.08.2020";360;3
"31.08.2020";361;1
"01.09.2020";364;3
"02.09.2020";365;1
"03.09.2020";367;2
"04.09.2020";368;1
"05.09.2020";368;0
"06.09.2020";370;2
"07.09.2020";371;1
"08.09.2020";375;4
"09.09.2020";376;1
"10.09.2020";376;0
"11.09.2020";378;2
"12.09.2020";379;1
"13.09.2020";384;5
"14.09.2020";385;1
"15.09.2020";389;4
"16.09.2020";389;0
"17.09.2020";394;5
"18.09.2020";396;2
"19.09.2020";398;2
"20.09.2020";398;0
"21.09.2020";404;6
"22.09.2020";405;1
"23.09.2020";410;5
"24.09.2020";411;1
"25.09.2020";414;3
"26.09.2020";417;3
"27.09.2020";418;1
"28.09.2020";425;7
"29.09.2020";432;7
"30.09.2020";434;2
"01.10.2020";440;6
"02.10.2020";444;4
"03.10.2020";445;1
"04.10.2020";449;4
"05.10.2020";460;11
"06.10.2020";466;6
"07.10.2020";473;7
"08.10.2020";478;5
"09.10.2020";483;5
"10.10.2020";486;3
"11.10.2020";489;3
"12.10.2020";497;8
"13.10.2020";502;5
"14.10.2020";509;7
"15.10.2020";510;1
"16.10.2020";516;6
"17.10.2020";517;1
"18.10.2020";520;3
"19.10.2020";531;11
"20.10.2020";537;6
"21.10.2020";540;3
"22.10.2020";545;5
"23.10.2020";551;6
"24.10.2020";560;9
"25.10.2020";562;2
"26.10.2020";581;19
"27.10.2020";592;11
"28.10.2020";605;13
"29.10.2020";618;13
"30.10.2020";636;18
"31.10.2020";646;10
"01.11.2020";657;11
"02.11.2020";684;27
"03.11.2020";709;25
"04.11.2020";728;19
"05.11.2020";751;23
"06.11.2020";778;27
"07.11.2020";780;2
"08.11.2020";793;13
"09.11.2020";803;10
