"Dato";"Kumulativt antall";"Nye tilfeller"
"2020-02-21";0;0
"2020-02-22";0;0
"2020-02-23";0;0
"2020-02-24";0;0
"2020-02-25";0;0
"2020-02-26";0;0
"2020-02-27";1;1
"2020-02-28";6;5
"2020-02-29";6;0
"2020-03-01";10;4
"2020-03-02";13;3
"2020-03-03";19;6
"2020-03-04";24;5
"2020-03-05";28;4
"2020-03-06";30;2
"2020-03-07";30;0
"2020-03-08";31;1
"2020-03-09";52;21
"2020-03-10";70;18
"2020-03-11";86;16
"2020-03-12";113;27
"2020-03-13";129;16
"2020-03-14";135;6
"2020-03-15";151;16
"2020-03-16";176;25
"2020-03-17";195;19
"2020-03-18";217;22
"2020-03-19";253;36
"2020-03-20";289;36
"2020-03-21";305;16
"2020-03-22";313;8
"2020-03-23";353;40
"2020-03-24";384;31
"2020-03-25";417;33
"2020-03-26";444;27
"2020-03-27";466;22
"2020-03-28";480;14
"2020-03-29";482;2
"2020-03-30";509;27
"2020-03-31";525;16
"2020-04-01";538;13
"2020-04-02";559;21
"2020-04-03";580;21
"2020-04-04";585;5
"2020-04-05";588;3
"2020-04-06";620;32
"2020-04-07";634;14
"2020-04-08";650;16
"2020-04-09";670;20
"2020-04-10";672;2
"2020-04-11";706;34
"2020-04-12";713;7
"2020-04-13";721;8
"2020-04-14";756;35
"2020-04-15";772;16
"2020-04-16";787;15
"2020-04-17";797;10
"2020-04-18";804;7
"2020-04-19";805;1
"2020-04-20";811;6
"2020-04-21";822;11
"2020-04-22";828;6
"2020-04-23";831;3
"2020-04-24";838;7
"2020-04-25";841;3
"2020-04-26";842;1
"2020-04-27";853;11
"2020-04-28";857;4
"2020-04-29";860;3
"2020-04-30";864;4
"2020-05-01";865;1
"2020-05-02";868;3
"2020-05-03";870;2
"2020-05-04";870;0
"2020-05-05";872;2
"2020-05-06";873;1
"2020-05-07";874;1
"2020-05-08";875;1
"2020-05-09";876;1
"2020-05-10";876;0
"2020-05-11";877;1
"2020-05-12";877;0
"2020-05-13";877;0
"2020-05-14";877;0
"2020-05-15";877;0
"2020-05-16";877;0
"2020-05-17";877;0
"2020-05-18";878;1
"2020-05-19";879;1
"2020-05-20";879;0
"2020-05-21";879;0
"2020-05-22";880;1
"2020-05-23";880;0
"2020-05-24";880;0
"2020-05-25";880;0
"2020-05-26";880;0
"2020-05-27";880;0
"2020-05-28";880;0
"2020-05-29";880;0
"2020-05-30";880;0
"2020-05-31";880;0
"2020-06-01";880;0
"2020-06-02";881;1
"2020-06-03";882;1
"2020-06-04";882;0
"2020-06-05";883;1
"2020-06-06";883;0
"2020-06-07";883;0
"2020-06-08";885;2
"2020-06-09";885;0
"2020-06-10";885;0
"2020-06-11";885;0
"2020-06-12";885;0
"2020-06-13";885;0
"2020-06-14";885;0
"2020-06-15";885;0
"2020-06-16";885;0
"2020-06-17";887;2
"2020-06-18";887;0
"2020-06-19";887;0
"2020-06-20";887;0
"2020-06-21";887;0
"2020-06-22";890;3
"2020-06-23";890;0
"2020-06-24";890;0
"2020-06-25";891;1
"2020-06-26";891;0
"2020-06-27";891;0
"2020-06-28";891;0
"2020-06-29";893;2
"2020-06-30";893;0
"2020-07-01";894;1
"2020-07-02";894;0
"2020-07-03";894;0
"2020-07-04";894;0
"2020-07-05";894;0
"2020-07-06";894;0
"2020-07-07";894;0
"2020-07-08";894;0
"2020-07-09";896;2
"2020-07-10";896;0
"2020-07-11";896;0
"2020-07-12";896;0
"2020-07-13";896;0
"2020-07-14";896;0
"2020-07-15";896;0
"2020-07-16";896;0
"2020-07-17";899;3
"2020-07-18";899;0
"2020-07-19";899;0
"2020-07-20";899;0
"2020-07-21";900;1
"2020-07-22";902;2
"2020-07-23";902;0
"2020-07-24";903;1
"2020-07-25";903;0
"2020-07-26";903;0
"2020-07-27";904;1
"2020-07-28";906;2
"2020-07-29";918;12
"2020-07-30";923;5
"2020-07-31";929;6
"2020-08-01";930;1
"2020-08-02";931;1
"2020-08-03";933;2
"2020-08-04";933;0
"2020-08-05";937;4
"2020-08-06";943;6
"2020-08-07";944;1
"2020-08-08";944;0
"2020-08-09";945;1
"2020-08-10";948;3
"2020-08-11";951;3
"2020-08-12";955;4
"2020-08-13";959;4
"2020-08-14";966;7
"2020-08-15";967;1
"2020-08-16";968;1
"2020-08-17";970;2
"2020-08-18";975;5
"2020-08-19";992;17
"2020-08-20";1004;12
"2020-08-21";1020;16
"2020-08-22";1033;13
"2020-08-23";1038;5
"2020-08-24";1051;13
"2020-08-25";1060;9
"2020-08-26";1069;9
"2020-08-27";1073;4
"2020-08-28";1099;26
"2020-08-29";1104;5
"2020-08-30";1119;15
"2020-08-31";1161;42
"2020-09-01";1175;14
"2020-09-02";1197;22
"2020-09-03";1221;24
"2020-09-04";1254;33
"2020-09-05";1269;15
"2020-09-06";1289;20
"2020-09-07";1332;43
"2020-09-08";1366;34
"2020-09-09";1412;46
"2020-09-10";1461;49
"2020-09-11";1500;39
"2020-09-12";1521;21
"2020-09-13";1546;25
"2020-09-14";1578;32
"2020-09-15";1604;26
"2020-09-16";1633;29
"2020-09-17";1653;20
"2020-09-18";1669;16
"2020-09-19";1675;6
"2020-09-20";1689;14
"2020-09-21";1715;26
"2020-09-22";1732;17
"2020-09-23";1755;23
"2020-09-24";1778;23
"2020-09-25";1803;25
"2020-09-26";1818;15
"2020-09-27";1823;5
"2020-09-28";1836;13
"2020-09-29";1847;11
"2020-09-30";1867;20
"2020-10-01";1888;21
"2020-10-02";1916;28
"2020-10-03";1944;28
"2020-10-04";1950;6
"2020-10-05";1993;43
"2020-10-06";2010;17
"2020-10-07";2034;24
"2020-10-08";2060;26
"2020-10-09";2082;22
"2020-10-10";2097;15
"2020-10-11";2108;11
"2020-10-12";2135;27
"2020-10-13";2167;32
"2020-10-14";2192;25
"2020-10-15";2219;27
"2020-10-16";2229;10
"2020-10-17";2245;16
"2020-10-18";2255;10
"2020-10-19";2291;36
"2020-10-20";2331;40
"2020-10-21";2380;49
"2020-10-22";2431;51
"2020-10-23";2484;53
"2020-10-24";2525;41
"2020-10-25";2571;46
"2020-10-26";2635;64
"2020-10-27";2694;59
"2020-10-28";2771;77
"2020-10-29";2836;65
"2020-10-30";2922;86
"2020-10-31";2992;70
"2020-11-01";3047;55
"2020-11-02";3166;119
"2020-11-03";3280;114
"2020-11-04";3418;138
"2020-11-05";3538;120
"2020-11-06";3655;117
"2020-11-07";3726;71
"2020-11-08";3778;52
"2020-11-09";3919;141
"2020-11-10";4021;102
"2020-11-11";4160;139
"2020-11-12";4272;112
"2020-11-13";4406;134
"2020-11-14";4476;70
"2020-11-15";4534;58
"2020-11-16";4637;103
"2020-11-17";4718;81
"2020-11-18";4796;78
"2020-11-19";4845;49
"2020-11-20";4889;44
"2020-11-21";4912;23
"2020-11-22";4932;20
"2020-11-23";4975;43
"2020-11-24";5009;34
"2020-11-25";5039;30
"2020-11-26";5040;1
