"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";0;0
"22.02.2020";0;0
"23.02.2020";0;0
"24.02.2020";0;0
"25.02.2020";0;0
"26.02.2020";1;1
"27.02.2020";1;0
"28.02.2020";5;4
"29.02.2020";5;0
"01.03.2020";6;1
"02.03.2020";8;2
"03.03.2020";16;8
"04.03.2020";22;6
"05.03.2020";27;5
"06.03.2020";36;9
"07.03.2020";40;4
"08.03.2020";59;19
"09.03.2020";131;72
"10.03.2020";176;45
"11.03.2020";219;43
"12.03.2020";275;56
"13.03.2020";331;56
"14.03.2020";371;40
"15.03.2020";401;30
"16.03.2020";461;60
"17.03.2020";527;66
"18.03.2020";595;68
"19.03.2020";660;65
"20.03.2020";732;72
"21.03.2020";784;52
"22.03.2020";838;54
"23.03.2020";908;70
"24.03.2020";1001;93
"25.03.2020";1081;80
"26.03.2020";1141;60
"27.03.2020";1207;66
"28.03.2020";1245;38
"29.03.2020";1286;41
"30.03.2020";1363;77
"31.03.2020";1419;56
"01.04.2020";1476;57
"02.04.2020";1528;52
"03.04.2020";1570;42
"04.04.2020";1599;29
"05.04.2020";1624;25
"06.04.2020";1663;39
"07.04.2020";1699;36
"08.04.2020";1724;25
"09.04.2020";1750;26
"10.04.2020";1767;17
"11.04.2020";1786;19
"12.04.2020";1808;22
"13.04.2020";1829;21
"14.04.2020";1854;25
"15.04.2020";1877;23
"16.04.2020";1893;16
"17.04.2020";1929;36
"18.04.2020";1937;8
"19.04.2020";1941;4
"20.04.2020";1964;23
"21.04.2020";1980;16
"22.04.2020";1998;18
"23.04.2020";2011;13
"24.04.2020";2024;13
"25.04.2020";2027;3
"26.04.2020";2031;4
"27.04.2020";2049;18
"28.04.2020";2065;16
"29.04.2020";2072;7
"30.04.2020";2082;10
"01.05.2020";2085;3
"02.05.2020";2092;7
"03.05.2020";2101;9
"04.05.2020";2119;18
"05.05.2020";2132;13
"06.05.2020";2143;11
"07.05.2020";2155;12
"08.05.2020";2173;18
"09.05.2020";2176;3
"10.05.2020";2177;1
"11.05.2020";2186;9
"12.05.2020";2193;7
"13.05.2020";2203;10
"14.05.2020";2210;7
"15.05.2020";2220;10
"16.05.2020";2226;6
"17.05.2020";2228;2
"18.05.2020";2238;10
"19.05.2020";2245;7
"20.05.2020";2253;8
"21.05.2020";2254;1
"22.05.2020";2264;10
"23.05.2020";2264;0
"24.05.2020";2267;3
"25.05.2020";2275;8
"26.05.2020";2279;4
"27.05.2020";2287;8
"28.05.2020";2290;3
"29.05.2020";2293;3
"30.05.2020";2293;0
"31.05.2020";2295;2
"01.06.2020";2297;2
"02.06.2020";2300;3
"03.06.2020";2305;5
"04.06.2020";2306;1
"05.06.2020";2310;4
"06.06.2020";2312;2
"07.06.2020";2312;0
"08.06.2020";2319;7
"09.06.2020";2323;4
"10.06.2020";2324;1
"11.06.2020";2327;3
"12.06.2020";2333;6
"13.06.2020";2335;2
"14.06.2020";2335;0
"15.06.2020";2344;9
"16.06.2020";2353;9
"17.06.2020";2360;7
"18.06.2020";2365;5
"19.06.2020";2369;4
"20.06.2020";2370;1
"21.06.2020";2371;1
"22.06.2020";2385;14
"23.06.2020";2390;5
"24.06.2020";2405;15
"25.06.2020";2413;8
"26.06.2020";2427;14
"27.06.2020";2430;3
"28.06.2020";2430;0
"29.06.2020";2447;17
"30.06.2020";2449;2
"01.07.2020";2452;3
"02.07.2020";2455;3
"03.07.2020";2460;5
"04.07.2020";2461;1
"05.07.2020";2461;0
"06.07.2020";2472;11
"07.07.2020";2476;4
"08.07.2020";2479;3
"09.07.2020";2480;1
"10.07.2020";2484;4
"11.07.2020";2484;0
"12.07.2020";2486;2
"13.07.2020";2493;7
"14.07.2020";2497;4
"15.07.2020";2498;1
"16.07.2020";2498;0
"17.07.2020";2499;1
"18.07.2020";2499;0
"19.07.2020";2499;0
"20.07.2020";2510;11
"21.07.2020";2510;0
"22.07.2020";2521;11
"23.07.2020";2524;3
"24.07.2020";2538;14
"25.07.2020";2538;0
"26.07.2020";2544;6
"27.07.2020";2551;7
"28.07.2020";2556;5
"29.07.2020";2564;8
"30.07.2020";2569;5
"31.07.2020";2579;10
"01.08.2020";2586;7
"02.08.2020";2589;3
"03.08.2020";2597;8
"04.08.2020";2613;16
"05.08.2020";2632;19
"06.08.2020";2661;29
"07.08.2020";2704;43
"08.08.2020";2720;16
"09.08.2020";2738;18
"10.08.2020";2761;23
"11.08.2020";2780;19
"12.08.2020";2797;17
"13.08.2020";2810;13
"14.08.2020";2828;18
"15.08.2020";2841;13
"16.08.2020";2849;8
"17.08.2020";2879;30
"18.08.2020";2889;10
"19.08.2020";2898;9
"20.08.2020";2909;11
"21.08.2020";2915;6
"22.08.2020";2926;11
"23.08.2020";2926;0
"24.08.2020";2937;11
"25.08.2020";2943;6
"26.08.2020";2950;7
"27.08.2020";2962;12
"28.08.2020";2985;23
"29.08.2020";3000;15
"30.08.2020";3014;14
"31.08.2020";3071;57
"01.09.2020";3126;55
"02.09.2020";3175;49
"03.09.2020";3248;73
"04.09.2020";3303;55
"05.09.2020";3336;33
"06.09.2020";3354;18
"07.09.2020";3394;40
"08.09.2020";3426;32
"09.09.2020";3461;35
"10.09.2020";3487;26
"11.09.2020";3521;34
"12.09.2020";3536;15
"13.09.2020";3548;12
"14.09.2020";3565;17
"15.09.2020";3589;24
"16.09.2020";3632;43
"17.09.2020";3656;24
"18.09.2020";3677;21
"19.09.2020";3695;18
"20.09.2020";3711;16
"21.09.2020";3737;26
"22.09.2020";3758;21
"23.09.2020";3791;33
"24.09.2020";3822;31
"25.09.2020";3849;27
"26.09.2020";3853;4
"27.09.2020";3863;10
"28.09.2020";3883;20
"29.09.2020";3900;17
"30.09.2020";3915;15
"01.10.2020";3944;29
"02.10.2020";3958;14
"03.10.2020";3981;23
"04.10.2020";4002;21
"05.10.2020";4044;42
"06.10.2020";4078;34
"07.10.2020";4135;57
"08.10.2020";4185;50
"09.10.2020";4226;41
"10.10.2020";4235;9
"11.10.2020";4250;15
"12.10.2020";4302;52
"13.10.2020";4325;23
"14.10.2020";4357;32
"15.10.2020";4393;36
"16.10.2020";4428;35
"17.10.2020";4447;19
"18.10.2020";4468;21
"19.10.2020";4514;46
"20.10.2020";4538;24
"21.10.2020";4581;43
"22.10.2020";4652;71
"23.10.2020";4767;115
"24.10.2020";4825;58
"25.10.2020";4881;56
"26.10.2020";5003;122
"27.10.2020";5120;117
"28.10.2020";5282;162
"29.10.2020";5386;104
"30.10.2020";5578;192
"31.10.2020";5677;99
"01.11.2020";5771;94
"02.11.2020";5955;184
"03.11.2020";6133;178
"04.11.2020";6366;233
"05.11.2020";6545;179
"06.11.2020";6721;176
"07.11.2020";6824;103
"08.11.2020";6905;81
"09.11.2020";6912;7
